"ID","Clee","Nombre de la Unidad Econ�mica","Raz�n social","C�digo de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","N�mero exterior o kil�metro","Letra exterior","Edificio","Edificio Piso","N�mero interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado p�blico","N�mero de local","C�digo Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","�rea geoestad�stica b�sica ","Manzana","N�mero de tel�fono","Correo electr�nico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporaci�n al DENUE"
"6422740","02004622111000321000000000U3","ADVANCED HEALTH MEDICAL CENTER","ADVANCED HEALTH MEDICAL CENTER  SA DE CV","622111","Private","6 a 10 personas","CALLE","DIEGO RIVERA","AVENIDA","PASEO DE LOS HEROES","CALLE","VIA RAPIDA","CALLE","JOSE MARIA VELAZCO","2339",,"CORPORATIVO DETKCO","PISO 1","101","A","ZONA COMERCIAL","ZONA RIO","HOSPITAL, CENTRO MEDICO O CLINICA","DEKCO","101","22010","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","021","6644375124","RECEPCION@SSDMEDICALCENTER.COM","WWW.SSDMEDICALCENTER.COM","Fijo","32.5241839","-117.01244672","2011-03" 
"10121975","02004622111001162000000000U0","ALICIA BEAUTY CLINIC",,"622111","Private","6 a 10 personas","CALLE","LEONA VICARIO","CALLE","VIA RAPIDA","CALLE","PASEO DE LOS HEROES","CALLE","FRANCISCO JAVIER MINA","1450",,"EDIFICIO SAN JOSE","PLANTA BAJA","6",,"AMPLIACION","ZONA RIO","EDIFICIO COMERCIAL Y DE SERVICIOS","EDIFICIO SAN JOSE","6","22010","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3836","004",,,,"Fijo","32.53181472","-117.02451994","2024-11"
"10454932","02004622111001132000000000M3","ASAVA",,"622111","Private","6 a 10 personas","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","BOULEVARD","PADRE FRANCISCO EUSEBIO KINO","CALLE","ROSARIO CASTELLANOS","CALLE","FRAY SERVANDO TERESA DE MIER","201","7",,,,,"ZONA COMERCIAL","ZONA RIO",,,,"22320","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3836","009","6643123743","FACTURACIONASAVA@GMAIL.COM",,"Fijo","32.53412516","-117.01697416","2024-11"
"6726608","02004622111000811000000000U3","BAJA MEDI","BAJAMEDIC S DE RL DE CV","622111","Private","0 a 5 personas","AVENIDA","REVOLUCION","CALLE","BENITO JUAREZ (SEGUNDA)","CALLE","CARRILLO PUERTO (TERCERA)","AVENIDA","FRANCISCO I. MADERO","868",,"ADYS DE TIJUANA","PISO 1",,,"COLONIA","CENTRO","CENTRO Y PLAZA COMERCIAL","ADYS DE TIJUANA","106","22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2946","012",,"INFO@BAJAMEDGROUP.COM","WWW.BAJAMEDGROUP.COM","Fijo","32.53452239","-117.03676969","2016-01"
"133397","02004622112000073000000000U8","CAPASITS","SECRETARIA DE SALUD ","622112","Public","11 a 30 personas","CALLE","FUENTES DE MEXICALI","CALLE","CALLE DEL MANANTIAL","CALLE","COMEDIA","CALLE","GROSELLA","0","SN",,,,,"FRACCIONAMIENTO","FUENTES DE MEXICALI HACIENDA LAS FUENTES",,,,"22245","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","4590","019","6641629314",,,"Fijo","32.4722349","-116.85079626","2014-12"
"127972","02004931610001223010000000U7","CENTRO DE SALUD EL RUBI","ISESALUD GOBIERNO DEL ESTADO DE BC ","622112","Public","11 a 30 personas","BOULEVARD","BOULEVARD DE LOS FUNDADORES","AVENIDA","MANUEL MEZA","CALLE","MARA A. DIAZ","BOULEVARD","BOULEVARD DE LOS FUNDADORES","0","SN",,,"0",,"COLONIA","OBRERA 2DA SECCION",,,,"22624","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","169A","007","6649008792",,,"Fijo","32.47865221","-117.03740719","2014-12"
"156638","02004622112000113001000000U2","CENTRO DE SALUD LA MESA","GOBIERNO FEDERAL ","622112","Public","6 a 10 personas","CALLE","MIGUEL DE LA MADRID","CALLE","SALVADOR ROSAS MAGALLON","AVENIDA","AVENIDA DE LAS FUENTES","AVENIDA","B","0","SN",,,"18","E","COLONIA","ESMERALDA",,,,"22015","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3431","013",,,,"Fijo","32.49505627","-116.96820977","2014-12"
"6284253","02004622111000684001000000U4","CENTRO MEDICO FLORENCE","CENTRO MEDICO FLORENCE SA DE CV","622111","Private","51 a 100 personas","CALLE","GENERAL FERREIRA","BOULEVARD","AGUA CALIENTE","AVENIDA","BRASIL","AVENIDA","AGUASCALIENTES","2224",,,,,,"COLONIA","MADERO",,,,,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3130","029","6647143261","RECURSOSHUMANOS@CENTROMEDICOFLORENCE.COM",,"Fijo","32.52269759","-117.03145774","2010-07"
"117355","02004621411000013011061944S1","CENTRO MEDICO FRONTERAS UNIDAS PRO SALUD","FRONTERAS UNIDAS PRO SALUD AC","622111","Private","51 a 100 personas","AVENIDA","INGENIERO JUAN OJEDA ROBLES Y O DE LA PAZ","CALLE","PORFIRIO DIAZ","AVENIDA","MANUEL AVILA CAMACHO","AVENIDA","MANUEL AVILA CAMACHO","14445",,,,,,"COLONIA","GUADALUPE VICTORIA",,,,"22426","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0475","035",,"PROSALUD@PRO-SALUD.ORG","WWW.PRO-SALUD.ORG","Fijo","32.51963424","-116.97349037","2010-07"
"6284314","02004622111000735001000000U4","CENTRO MEDICO HOSPITAL DEL PRADO","CENTRO MEDICO HOSPITAL DEL PRADO SA DE CV","622111","Private","101 a 250 personas","CALLE","CALLE DE LAS BUGAMBILIAS","BOULEVARD","GUSTAVO DÍAZ ORDAZ","CALLE","FERROCARRIL","CALLE","DE LAS AZUCENAS","50",,,,,,"FRACCIONAMIENTO","EL PRADO",,,,,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0456","023",,"ADMINISTRADOR@HDELPRADO.COM","WWW.HOSPITALDELPRADO.COM","Fijo","32.50961148","-116.99036231","2010-07"
